"Country or Area","Year(s)","Variant","Value"
"Cambodia","2015","Medium variant","15677.059"
"Cambodia","2010","Medium variant","14364.931"
"Cambodia","2005","Medium variant","13356.424"
"Cambodia","2000","Medium variant","12222.871"
"Cambodia","1995","Medium variant","10769.198"
"Cambodia","1990","Medium variant","9057.339"
"Cambodia","1985","Medium variant","7777.235"
"Cambodia","1980","Medium variant","6699.273"
"Cambodia","1975","Medium variant","7555.928"
"Cambodia","1970","Medium variant","7021.559"
"Cambodia","1965","Medium variant","6464.999"
"Cambodia","1960","Medium variant","5720.019"
"Cambodia","1955","Medium variant","5043.725"
"Cambodia","1950","Medium variant","4432.716"
